algorithm,n,distribution,run,wall_ns,comparisons,swaps,array_accesses,timestamp,seed
SelectionSort,100000,random,1,3702974400,4999950000,99985,10000299940,2025-09-29T19:11:40.656217100Z,12345
SelectionSort,100000,random,2,3487847600,4999950000,99985,10000299940,2025-09-29T19:12:01.802295700Z,12345
SelectionSort,100000,random,3,3483604100,4999950000,99992,10000299968,2025-09-29T19:12:23.371491100Z,12345
SelectionSort,100000,random,4,3484714800,4999950000,99990,10000299960,2025-09-29T19:12:44.435382200Z,12345
SelectionSort,100000,random,5,3495698800,4999950000,99986,10000299944,2025-09-29T19:13:05.369748400Z,12345
SelectionSort,100000,random,1,3493198500,4999950000,99985,10000299940,2025-09-30T07:30:59.194770300Z,12345
SelectionSort,100000,random,2,3496005900,4999950000,99985,10000299940,2025-09-30T07:31:20.735634400Z,12345
SelectionSort,100000,random,3,3483243500,4999950000,99992,10000299968,2025-09-30T07:31:41.776214500Z,12345
