algorithm,n,distribution,run,wall_ns,comparisons,swaps,array_accesses,timestamp,seed
SelectionSort,100,random,1,269900,4950,93,10272,2025-09-29T19:11:11.991922700Z,12345
SelectionSort,100,random,2,588000,4950,94,10276,2025-09-29T19:11:12.027915400Z,12345
SelectionSort,100,random,3,58900,4950,96,10284,2025-09-29T19:11:12.028917Z,12345
SelectionSort,100,random,4,29600,4950,96,10284,2025-09-29T19:11:12.029931700Z,12345
SelectionSort,100,random,5,45100,4950,95,10280,2025-09-29T19:11:12.029931700Z,12345
SelectionSort,100,random,6,30000,4950,98,10292,2025-09-29T19:11:12.030931800Z,12345
SelectionSort,100,random,7,29700,4950,96,10284,2025-09-29T19:11:12.030931800Z,12345
SelectionSort,100,random,8,66600,4950,97,10288,2025-09-29T19:11:12.086395400Z,12345
SelectionSort,100,random,9,65900,4950,98,10292,2025-09-29T19:11:12.087395800Z,12345
SelectionSort,100,random,10,67400,4950,95,10280,2025-09-29T19:11:12.088395300Z,12345
SelectionSort,100,random,1,272700,4950,93,10272,2025-09-30T07:30:29.143863100Z,12345
SelectionSort,100,random,2,263900,4950,94,10276,2025-09-30T07:30:29.178861900Z,12345
SelectionSort,100,random,3,51300,4950,96,10284,2025-09-30T07:30:29.179859900Z,12345
SelectionSort,100,random,4,29600,4950,96,10284,2025-09-30T07:30:29.179859900Z,12345
SelectionSort,100,random,5,29400,4950,95,10280,2025-09-30T07:30:29.180859900Z,12345
